unit_id,cycle,fault_mode,altitude_ft,air_density_kgm3,rpm,throttle_pct,cht_C,egt_C,oil_press_kPa,oil_temp_C,fuel_flow_kgph,bsfc_g_per_kWh,vibration_rms_g,ae_energy_20k_1M_band,crack_length_mm_groundtruth,alternator_ripple_mV,degradation_index_groundtruth,RUL_cycles
1,0,injector_drift,0.0,1.225,4355.0,58.8,97.22,818.75,411.19,90.34,25.439,511.83,0.6516,0.091,0.0,48.09,0.0181,201
1,1,injector_drift,550.2,1.2054,4389.0,61.8,95.48,812.75,427.79,91.47,25.9,495.99,0.6526,0.0698,0.0,50.87,0.022,200
1,2,injector_drift,1016.2,1.189,4227.0,59.7,93.83,820.97,423.78,89.62,25.56,506.92,0.8331,0.0567,0.0,37.75,0.0231,199
1,3,injector_drift,1019.8,1.1889,4347.0,60.4,95.22,818.29,421.31,94.92,25.685,503.66,0.8107,0.0887,0.0,42.15,0.0231,198
1,4,injector_drift,1554.1,1.1703,4299.0,63.4,96.03,806.92,415.44,87.33,25.918,483.59,0.8248,0.0601,0.0,42.14,0.0231,197
1,5,injector_drift,2205.1,1.1479,4277.0,55.2,95.4,824.35,418.27,93.0,25.123,538.7,0.7747,0.0566,0.0,41.64,0.0237,196
1,6,injector_drift,2574.5,1.1353,4297.0,57.5,94.84,809.97,414.09,93.21,25.747,529.76,0.8648,0.0439,0.0,38.89,0.0237,195
1,7,injector_drift,3054.8,1.1192,4330.0,57.2,96.09,800.57,400.82,88.77,26.68,552.08,0.8863,0.0687,0.0,34.71,0.0237,194
1,8,injector_drift,3364.0,1.1089,4405.0,54.9,94.95,804.29,404.72,94.93,24.664,531.96,0.8504,0.0666,0.0,42.6,0.0237,193
1,9,injector_drift,4057.6,1.086,4270.0,60.1,94.81,807.42,408.57,92.5,25.822,508.73,0.792,0.0579,0.0,38.43,0.0253,192
1,10,injector_drift,4475.2,1.0724,4352.0,64.6,96.23,818.27,401.86,92.45,25.659,470.19,0.6442,0.0418,0.0,42.7,0.0253,191
1,11,injector_drift,4800.2,1.0619,4321.0,61.7,95.15,814.22,409.73,90.56,26.022,499.02,0.8744,0.0602,0.0,38.3,0.0253,190
1,12,injector_drift,5390.0,1.0431,4330.0,63.4,96.18,815.06,423.98,90.12,25.918,483.87,0.9124,0.0569,0.0,36.98,0.0275,189
1,13,injector_drift,5720.3,1.0327,4410.0,66.3,96.23,824.16,411.77,90.13,26.379,470.89,0.8662,0.0316,0.0,43.65,0.0275,188
1,14,injector_drift,5949.2,1.0255,4382.0,67.2,94.11,822.4,421.17,91.33,26.601,468.19,0.7443,0.0288,0.0,43.23,0.0275,187
1,15,injector_drift,6559.9,1.0065,4430.0,63.3,95.19,821.06,412.82,93.43,25.983,485.95,0.8716,0.0707,0.0,45.71,0.0313,186
1,16,injector_drift,6785.6,0.9996,4341.0,67.8,98.07,824.05,419.52,90.99,26.629,464.98,0.8866,0.0074,0.0,53.75,0.0313,185
1,17,injector_drift,7484.3,0.9783,4308.0,64.2,94.17,823.93,411.05,88.8,25.025,461.19,0.9424,0.0635,0.0,44.2,0.0313,184
1,18,injector_drift,7766.4,0.9698,4337.0,61.7,92.73,800.85,418.18,92.28,26.445,507.62,0.7476,0.0498,0.0,45.24,0.0313,183
1,19,injector_drift,8165.7,0.9579,4365.0,62.6,93.12,815.28,418.01,92.47,26.016,491.78,0.7996,0.0856,0.0,37.43,0.0313,182
1,20,injector_drift,8508.7,0.9478,4361.0,60.2,95.95,799.53,410.37,91.94,26.151,514.33,0.8775,0.0495,0.0,36.38,0.0313,181
1,21,injector_drift,9209.6,0.9273,4285.0,62.2,95.95,818.26,420.97,92.12,25.352,482.58,0.8223,0.0726,0.0,50.73,0.0313,180
1,22,injector_drift,9416.2,0.9213,4355.0,64.0,95.73,818.84,417.49,90.08,25.616,473.8,0.7283,0.0515,0.0,38.2,0.0313,179
1,23,injector_drift,9786.0,0.9107,4364.0,67.7,97.85,830.06,409.59,88.86,26.245,458.85,0.8548,0.063,0.0,37.99,0.0357,178
1,24,injector_drift,10205.8,0.8988,4501.0,70.7,92.02,832.68,399.29,88.98,26.358,441.46,0.8679,0.0754,0.0,43.02,0.0357,177
1,25,injector_drift,10744.4,0.8837,4463.0,61.6,96.61,820.26,400.84,87.44,25.932,498.47,0.8286,0.0515,0.0,42.76,0.0357,176
1,26,injector_drift,11122.7,0.8731,4299.0,67.1,98.44,818.0,416.17,91.24,26.595,468.99,0.8416,0.0814,0.0,38.94,0.0384,175
1,27,injector_drift,11530.4,0.8619,4333.0,63.0,94.48,824.61,415.29,90.67,25.222,473.62,0.8067,0.0427,0.0,42.24,0.0419,174
1,28,injector_drift,11931.0,0.851,4262.0,67.8,95.61,818.88,412.1,89.96,26.603,464.48,0.9457,0.0685,0.0,49.92,0.0419,173
1,29,injector_drift,12582.5,0.8335,4315.0,66.2,95.05,822.29,414.39,84.93,26.12,467.12,0.7554,0.081,0.0,39.74,0.0419,172
1,30,injector_drift,12592.2,0.8332,4369.0,61.3,94.83,827.74,414.94,88.34,25.742,497.08,0.7804,0.0758,0.0,36.8,0.0419,171
1,31,injector_drift,12965.2,0.8233,4422.0,69.8,95.7,819.64,412.55,93.08,25.744,436.66,0.8283,0.1009,0.0,48.48,0.0419,170
1,32,injector_drift,13305.6,0.8143,4306.0,65.4,98.32,828.35,423.96,89.51,26.27,475.53,0.8977,0.0473,0.0,46.23,0.0419,169
